AS,t=206387097.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387097.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387098.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387098.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387098.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387098.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387099.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387099.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387099.421,risk=0.50,state=1,flags=0x0005,time=1,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387100.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387100.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387100.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387100.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387101.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387101.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387101.671,risk=0.20,state=0,flags=0x0004,time=0,pos=0,vel=1,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387101.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387102.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387102.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387102.671,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387102.921,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387103.171,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
AS,t=206387103.421,risk=0.00,state=0,flags=0x0000,time=0,pos=0,vel=0,imu=0,stale=0,heading=0,stationary=0,innovation=0,rejected=0
